Titre	Auteur	URL	Nom fichier	URL source année fin écriture	Année fin écriture	Nom auteur	Id auteur wikidata	URI œuvre data.bnf	Nb tokens	Nb words	Licence
L'amie	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-amie.epub	1878_L_amie	https://www.wikimanche.fr/Henry_Gréville, https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1878	Gréville	Q2266038		51699	56890	Domaine public
La Niania	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_La_Niania.epub	1878_La_Niania	https://www.wikimanche.fr/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1878	Gréville	Q2266038		59724	65868	Domaine public
Le Mangeur de poudre	Gustave Aimard	https://beq.ebooksgratuits.com/vents-epub/Aimard-mangeur.epub	1878_Le_Mangeur_de_poudre	https://fr.wikisource.org/wiki/Auteur:Gustave_Aimard, https://fr.wikipedia.org/wiki/Gustave_Aimard	1878	Aimard	Q472068		27468	30212	Domaine public
Un capitaine de quinze ans	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Un_capitaine_de_quinze_ans.epub	1878_Un_capitaine_de_quinze_ans	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1878	Verne	Q33977		111459	122907	Domaine public
Bonne-Marie	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-Bonne-Marie.epub	1879_Bonne-Marie	https://data.bnf.fr/fr/12122534/henry_greville/	1879	Gréville	Q2266038		38491	42531	Domaine public
Coeur-de-Panthère	Gustave Aimard	https://beq.ebooksgratuits.com/vents-epub/Aimard-panthere.epub	1879_Coeur-de-Panthere	https://fr.wikisource.org/wiki/Auteur:Gustave_Aimard, https://fr.wikipedia.org/wiki/Gustave_Aimard	1879	Aimard	Q472068		35048	38401	Domaine public
Les Cinq Cents Millions de la Bégum	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Les_cinq_cents_millions_de_la_Begum.epub	1879_Les_Cinq_Cents_Millions_de_la_Begum	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1879	Verne	Q33977		49794	55195	Domaine public
Les Forestiers du Michigan	Gustave Aimard	https://beq.ebooksgratuits.com/vents-epub/Aimard-Michigan.epub	1879_Les_Forestiers_du_Michigan	https://fr.wikisource.org/wiki/Auteur:Gustave_Aimard, https://fr.wikipedia.org/wiki/Gustave_Aimard	1879	Aimard	Q472068		34833	38583	Domaine public
Les mariages de Philomène	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-Philomene.epub	1879_Les_mariages_de_Philomene	https://data.bnf.fr/fr/12122534/henry_greville/	1879	Gréville	Q2266038		66321	72964	Domaine public
Les Terres d'Or	Gustave Aimard	https://beq.ebooksgratuits.com/vents-epub/Aimard-terres.epub	1879_Les_Terres_d_Or	https://fr.wikisource.org/wiki/Auteur:Gustave_Aimard, https://fr.wikipedia.org/wiki/Gustave_Aimard	1879	Aimard	Q472068		36806	40509	Domaine public
Les Tribulations d’un Chinois en Chine	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Les_tribulations_dun_Chinois_en_Chine.epub	1879_Les_Tribulations_d_un_Chinois_en_Chine	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1879	Verne	Q33977		53859	60327	Domaine public
Lucie Rodey	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Lucie_Rodey.epub	1879_Lucie_Rodey	https://www.wikimanche.fr/Henry_Gréville, https://fr.wikipedia.org/wiki/Henry_Gréville	1879	Gréville	Q2266038		47026	51914	Domaine public
Un violon russe	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-violon.epub	1879_Un_violon_russe	https://www.wikimanche.fr/Henry_Gréville, https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1879	Gréville	Q2266038		99911	109990	Domaine public
9. Nana.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-09.epub	1880_9_Nana	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1880	Zola	Q504	http://data.bnf.fr/ark:/12148/cb121083429#about	139452	152488	Domaine public
Cité Ménard	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Cite_Menard.epub	1880_Cite_Menard	https://www.wikimanche.fr/Henry_Gréville, https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1880	Gréville	Q2266038		74813	82312	Domaine public
L'héritage de Xénie	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-Xenie.epub	1880_L_heritage_de_Xenie	https://www.wikimanche.fr/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1880	Gréville	Q2266038		48208	53290	Domaine public
La Maison à vapeur	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_La_maison_a_vapeur.epub	1880_La_Maison_a_vapeur	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1880	Verne	Q33977		113429	124582	Domaine public
Le moulin Frappier	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Le_moulin_Frappier.epub	1880_Le_moulin_Frappier	https://www.wikimanche.fr/Henry_Gréville, https://fr.wikipedia.org/wiki/Henry_Gréville	1880	Gréville	Q2266038		95538	105734	Domaine public
L'homme sans bras	Paul Féval	https://beq.ebooksgratuits.com/vents-epub/Feval_Lhomme_sans_bras.epub	1881_L_homme_sans_bras	https://data.bnf.fr/fr/documents-by-rdt/11902704/te/page2, https://fr.wikisource.org/wiki/Auteur:Paul_Féval	1881	Féval	Q472568		44087	48090	Domaine public
La Jangada	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_La_jangada.epub	1881_La_Jangada	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1881	Verne	Q33977		88934	98254	Domaine public
Les bandits de l'Arizona	Gustave Aimard	https://beq.ebooksgratuits.com/vents-epub/Aimard_Les_bandits_de_lArizona.epub	1881_Les_bandits_de_l_Arizona	https://fr.wikisource.org/wiki/Auteur:Gustave_Aimard	1881	Aimard	Q472068		65608	71811	Domaine public
Madame de Dreux	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Madame_de_Dreux.epub	1881_Madame_de_Dreux	https://www.wikimanche.fr/Henry_Gréville, https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1881	Gréville	Q2266038		54257	60135	Domaine public
Marier sa fille	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-marier.epub	1881_Marier_sa_fille	https://data.bnf.fr/fr/12122534/henry_greville/	1881	Gréville	Q2266038		74706	82844	Domaine public
